Entity,Code,Year,Annual COâ‚‚ emissions
Afghanistan,AFG,1950,84272
Afghanistan,AFG,1951,91600
Afghanistan,AFG,1952,91600
Afghanistan,AFG,1953,106256
Afghanistan,AFG,1954,106256
Afghanistan,AFG,1955,153888
Afghanistan,AFG,1956,183200
Afghanistan,AFG,1957,293120
Afghanistan,AFG,1958,329760
Afghanistan,AFG,1959,384571
Afghanistan,AFG,1960,413885
Afghanistan,AFG,1961,490798
Afghanistan,AFG,1962,688594
Afghanistan,AFG,1963,706736
Afghanistan,AFG,1964,838551
Afghanistan,AFG,1965,1006917
Afghanistan,AFG,1966,1091159
Afghanistan,AFG,1967,1281865
Afghanistan,AFG,1968,1223391
Afghanistan,AFG,1969,941232
Afghanistan,AFG,1970,1670397
Afghanistan,AFG,1971,1893554
Afghanistan,AFG,1972,1530347
Afghanistan,AFG,1973,1635454
Afghanistan,AFG,1974,1913152
Afghanistan,AFG,1975,2121383
Afghanistan,AFG,1976,1980859
Afghanistan,AFG,1977,2384175
Afghanistan,AFG,1978,2153300
Afghanistan,AFG,1979,2232754
Afghanistan,AFG,1980,1756302
Afghanistan,AFG,1981,1978463
Afghanistan,AFG,1982,2094580.9
Afghanistan,AFG,1983,2519954
Afghanistan,AFG,1984,2821540
Afghanistan,AFG,1985,3501422
Afghanistan,AFG,1986,3133645
Afghanistan,AFG,1987,3113826
Afghanistan,AFG,1988,2856896
Afghanistan,AFG,1989,2764855
Afghanistan,AFG,1990,2024326.1
Afghanistan,AFG,1991,1914301
Afghanistan,AFG,1992,1482054
Afghanistan,AFG,1993,1486943
Afghanistan,AFG,1994,1453829
Afghanistan,AFG,1995,1417327
Afghanistan,AFG,1996,1370104
Afghanistan,AFG,1997,1304152
Afghanistan,AFG,1998,1278504
Afghanistan,AFG,1999,1091640
Afghanistan,AFG,2000,1047127.94
Afghanistan,AFG,2001,1069098
Afghanistan,AFG,2002,1340995
Afghanistan,AFG,2003,1559602
Afghanistan,AFG,2004,1237247
Afghanistan,AFG,2005,1889507
Afghanistan,AFG,2006,2159318
Afghanistan,AFG,2007,2799909
Afghanistan,AFG,2008,4254477
Afghanistan,AFG,2009,6391888
Afghanistan,AFG,2010,8364803.5
Afghanistan,AFG,2011,11838316
Afghanistan,AFG,2012,10035314
Afghanistan,AFG,2013,9250510
Afghanistan,AFG,2014,9170309
Afghanistan,AFG,2015,9791093
Afghanistan,AFG,2016,9067598
Afghanistan,AFG,2017,9867969
Afghanistan,AFG,2018,10818048
